Student,LPIPS,SSIM
112590053.png,0.0,1.0
112590031.png,0.3958118259906769,0.47966396516421
112590021.png,0.40349552035331726,0.49071635857118084
112590052.png,0.41307953000068665,0.4515828485976872
112590024.png,0.42278820276260376,0.45479176983515596
110820009.png,0.4239271283149719,0.5570590744436609
110590456.png,0.45121440291404724,0.5396541965971379
112590026.png,0.45353713631629944,0.5244092725208604
112590057.png,0.4537956714630127,0.5188841137534035
112590035.png,0.4550657868385315,0.5266525905957988
109810011.png,0.45804306864738464,0.5136592697013628
111332012.png,0.48095789551734924,0.5275381215178163
112590005.png,0.4846605062484741,0.5281882745677485
112590023.png,0.4887844920158386,0.5568199768412729
112590007.png,0.4912034571170807,0.5367282141149319
112590018.png,0.4923194348812103,0.37800914185769513
112590036.png,0.5001891851425171,0.5374918178290119
112590060.png,0.5017271041870117,0.5309162211046085
112590009.png,0.5024866461753845,0.4806217653296699
112590038.png,0.5054430365562439,0.5205590638363292
112590059.png,0.5099111795425415,0.5497040561414894
113378043.png,0.510676383972168,0.5123905519390987
112590041.png,0.5126926302909851,0.5218668561335498
112590022.png,0.5293786525726318,0.49675070001678895
112590033.png,0.5319369435310364,0.504729578305204
112590029.png,0.5363662242889404,0.5648014673524766
112590030.png,0.5489516854286194,0.5238327290996289
112590056.png,0.5585542321205139,0.5571293879367729
112590003.png,0.5811227560043335,0.5510798626718131
112590012.png,0.6083969473838806,0.5343402566062283
110590041.png,0.6461435556411743,0.4971412579468206
